epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2678.38,1.33596,0.79305,1.03557,0.81137,0.67982,0.76745,0.50613,1.12412,0.71918,0.99172,0.005842,0.005842,0.005842
44,2740.41,1.3263,0.7842,1.03091,0.81952,0.65928,0.75814,0.50865,1.11585,0.71742,0.99282,0.005743,0.005743,0.005743
45,2802.33,1.32693,0.78972,1.03246,0.76503,0.6736,0.74734,0.50705,1.11456,0.71546,0.99258,0.005644,0.005644,0.005644
46,2863.24,1.32987,0.78874,1.03163,0.78506,0.69286,0.76612,0.51915,1.12061,0.70753,0.9917,0.005545,0.005545,0.005545
47,2925.73,1.33063,0.78505,1.0338,0.75335,0.69938,0.75269,0.5027,1.11496,0.7126,0.99267,0.005446,0.005446,0.005446
48,2986.26,1.31818,0.77932,1.02926,0.79105,0.68704,0.76414,0.51365,1.10967,0.69971,0.98689,0.005347,0.005347,0.005347
49,3046.59,1.31582,0.77586,1.02889,0.78,0.70827,0.76533,0.51727,1.10863,0.7017,0.98933,0.005248,0.005248,0.005248
50,3107.74,1.32336,0.78237,1.03203,0.77061,0.67997,0.76591,0.5128,1.11048,0.70518,0.98556,0.005149,0.005149,0.005149
51,3169.23,1.3218,0.77879,1.03065,0.80142,0.67864,0.76575,0.52139,1.10465,0.69904,0.98397,0.00505,0.00505,0.00505
52,3231.95,1.31248,0.77054,1.02746,0.74755,0.71303,0.76148,0.50624,1.10438,0.70113,0.98447,0.004951,0.004951,0.004951
53,3291.71,1.31511,0.77229,1.02477,0.79881,0.67929,0.75493,0.50904,1.10285,0.70956,0.98676,0.004852,0.004852,0.004852
54,3353.68,1.30693,0.77735,1.02916,0.79794,0.70239,0.77513,0.51297,1.10243,0.6944,0.98851,0.004753,0.004753,0.004753
55,3413.98,1.30306,0.76864,1.02562,0.76082,0.72584,0.77255,0.51922,1.10207,0.68474,0.98776,0.004654,0.004654,0.004654
56,3476.3,1.29967,0.76527,1.02399,0.79911,0.71053,0.77493,0.52365,1.10106,0.68465,0.98797,0.004555,0.004555,0.004555
57,3537.16,1.2991,0.76717,1.02291,0.81095,0.70453,0.78457,0.52608,1.1015,0.67895,0.9879,0.004456,0.004456,0.004456
58,3599.12,1.29531,0.76412,1.02163,0.7942,0.72253,0.77533,0.52317,1.10036,0.67857,0.98778,0.004357,0.004357,0.004357
59,3661.39,1.28986,0.76082,1.02102,0.78991,0.70226,0.77758,0.52931,1.0997,0.67732,0.98776,0.004258,0.004258,0.004258
60,3722.44,1.29195,0.7599,1.0204,0.78875,0.73053,0.78257,0.53339,1.09508,0.6768,0.9839,0.004159,0.004159,0.004159
61,3785.56,1.29708,0.75712,1.01983,0.81812,0.69034,0.77612,0.52436,1.09888,0.67655,0.98698,0.00406,0.00406,0.00406
62,3846.18,1.29275,0.75445,1.02125,0.7663,0.7277,0.77165,0.52198,1.09753,0.67935,0.98623,0.003961,0.003961,0.003961
63,3907.91,1.28529,0.75375,1.02024,0.80178,0.69729,0.7768,0.5268,1.09619,0.67337,0.9864,0.003862,0.003862,0.003862
64,3970.37,1.28417,0.74967,1.01613,0.81963,0.68797,0.77396,0.52444,1.09525,0.67723,0.98715,0.003763,0.003763,0.003763
65,4032.1,1.28403,0.74851,1.01561,0.7827,0.72394,0.77853,0.52286,1.09584,0.68082,0.98757,0.003664,0.003664,0.003664
66,4093.41,1.27859,0.74123,1.01502,0.78467,0.72576,0.77894,0.5259,1.09216,0.6783,0.98438,0.003565,0.003565,0.003565
67,4154.45,1.26994,0.7399,1.01321,0.79376,0.70651,0.77472,0.52547,1.09185,0.68241,0.98507,0.003466,0.003466,0.003466
68,4214.95,1.27306,0.74032,1.0139,0.80636,0.69776,0.7694,0.52471,1.0898,0.68114,0.98366,0.003367,0.003367,0.003367
69,4275.58,1.27165,0.73875,1.01454,0.81889,0.70533,0.77573,0.52774,1.09475,0.67741,0.98379,0.003268,0.003268,0.003268
70,4336.39,1.27317,0.73856,1.01449,0.82182,0.71046,0.7851,0.53147,1.09285,0.67484,0.98298,0.003169,0.003169,0.003169
71,4397.61,1.2693,0.73986,1.01541,0.81699,0.71715,0.78042,0.52841,1.09261,0.67495,0.98218,0.00307,0.00307,0.00307
72,4459.1,1.27062,0.73415,1.01427,0.8384,0.69652,0.78147,0.52925,1.08876,0.67218,0.98141,0.002971,0.002971,0.002971
73,4520.27,1.26276,0.73184,1.0132,0.81113,0.70964,0.78808,0.52744,1.08742,0.67031,0.98034,0.002872,0.002872,0.002872
74,4581.32,1.26882,0.73811,1.01209,0.76262,0.73795,0.78881,0.53373,1.08718,0.66654,0.9818,0.002773,0.002773,0.002773
75,4642.09,1.26381,0.72881,1.01021,0.82195,0.71088,0.79087,0.53418,1.08925,0.6655,0.98299,0.002674,0.002674,0.002674
76,4702.52,1.25793,0.7262,1.01045,0.83189,0.72402,0.79303,0.53426,1.08598,0.66199,0.98203,0.002575,0.002575,0.002575
77,4764.91,1.26332,0.7263,1.01105,0.80938,0.74027,0.79362,0.53791,1.08672,0.66127,0.98458,0.002476,0.002476,0.002476
78,4825.64,1.26723,0.72486,1.01242,0.81099,0.73479,0.79884,0.54213,1.08832,0.66031,0.98563,0.002377,0.002377,0.002377
79,4888.61,1.25218,0.71948,1.00878,0.80322,0.72975,0.79271,0.54125,1.08758,0.65921,0.98355,0.002278,0.002278,0.002278
80,4951.44,1.23829,0.71536,1.0057,0.8002,0.72963,0.79199,0.54053,1.08436,0.65936,0.9822,0.002179,0.002179,0.002179
81,5011.64,1.25047,0.71758,1.00809,0.80796,0.73068,0.79114,0.54273,1.08296,0.66049,0.98167,0.00208,0.00208,0.00208
82,5073.53,1.23663,0.71278,1.00413,0.81173,0.73682,0.79303,0.54271,1.08468,0.66095,0.98303,0.001981,0.001981,0.001981
83,5134.44,1.24265,0.71555,1.00531,0.80339,0.73823,0.79202,0.54309,1.08465,0.66041,0.98271,0.001882,0.001882,0.001882
84,5197.69,1.23899,0.71522,1.00548,0.81287,0.73213,0.79116,0.54373,1.08532,0.65975,0.98342,0.001783,0.001783,0.001783
85,5258.32,1.23353,0.70639,1.00243,0.80329,0.73565,0.78975,0.53929,1.08556,0.65879,0.98354,0.001684,0.001684,0.001684
86,5318.38,1.23421,0.70581,1.00396,0.79394,0.73718,0.78744,0.54123,1.08423,0.65902,0.9828,0.001585,0.001585,0.001585
87,5379.99,1.2413,0.70998,1.00357,0.79375,0.74417,0.78973,0.54194,1.08249,0.65663,0.98201,0.001486,0.001486,0.001486
88,5441.42,1.23098,0.7063,1.00049,0.79219,0.75474,0.79021,0.54319,1.08201,0.65591,0.98131,0.001387,0.001387,0.001387
89,5503.54,1.22141,0.69921,0.99913,0.8021,0.74998,0.79384,0.54234,1.08267,0.65593,0.98109,0.001288,0.001288,0.001288
90,5564.65,1.22922,0.69858,1.00163,0.79728,0.74785,0.79063,0.54086,1.08262,0.65499,0.98057,0.001189,0.001189,0.001189
91,5645,1.20895,0.63865,0.99022,0.79368,0.74053,0.79006,0.54097,1.08232,0.656,0.98063,0.00109,0.00109,0.00109
92,5705.78,1.19912,0.63353,0.98474,0.80757,0.71819,0.79034,0.54031,1.082,0.65673,0.98075,0.000991,0.000991,0.000991
93,5765.96,1.18108,0.62527,0.9807,0.8017,0.72077,0.79051,0.54031,1.08277,0.65643,0.982,0.000892,0.000892,0.000892
94,5825.79,1.18188,0.62006,0.98119,0.81771,0.71353,0.78891,0.53772,1.08348,0.65649,0.98281,0.000793,0.000793,0.000793
95,5884.85,1.17643,0.61818,0.97847,0.80971,0.71387,0.78613,0.53775,1.08432,0.65683,0.98359,0.000694,0.000694,0.000694
96,5944.69,1.17406,0.61532,0.97946,0.8183,0.7127,0.78692,0.53701,1.0842,0.65642,0.98413,0.000595,0.000595,0.000595
97,6004.13,1.17384,0.61389,0.97813,0.81927,0.71606,0.78718,0.53692,1.08403,0.656,0.98444,0.000496,0.000496,0.000496
98,6063.83,1.16505,0.61148,0.97507,0.81867,0.71872,0.786,0.53711,1.08393,0.65615,0.98459,0.000397,0.000397,0.000397
99,6123.59,1.16122,0.60793,0.97362,0.80989,0.71982,0.78517,0.53757,1.08317,0.65646,0.98452,0.000298,0.000298,0.000298
100,6183.57,1.15546,0.60398,0.97397,0.80563,0.72239,0.78481,0.53765,1.08298,0.65608,0.98464,0.000199,0.000199,0.000199
