epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2610.66,1.38231,0.84102,1.05435,0.77079,0.6854,0.74889,0.49467,1.14357,0.73555,1.00117,0.005842,0.005842,0.005842
44,2672.69,1.37156,0.8296,1.04827,0.73884,0.68402,0.74483,0.49976,1.13192,0.72769,0.99696,0.005743,0.005743,0.005743
45,2732.67,1.37478,0.83546,1.05128,0.75941,0.69155,0.74827,0.50675,1.1293,0.71952,0.99866,0.005644,0.005644,0.005644
46,2791.7,1.37666,0.83426,1.051,0.72839,0.68494,0.74221,0.49931,1.13469,0.72533,0.99848,0.005545,0.005545,0.005545
47,2852.95,1.37433,0.83119,1.05038,0.75717,0.67085,0.73109,0.49376,1.12112,0.72804,0.98993,0.005446,0.005446,0.005446
48,2913.42,1.36511,0.82285,1.04754,0.76955,0.6489,0.73353,0.49656,1.12928,0.72346,0.99523,0.005347,0.005347,0.005347
49,2974.64,1.36075,0.82086,1.04719,0.72997,0.69217,0.74582,0.50892,1.11949,0.71271,0.99459,0.005248,0.005248,0.005248
50,3034.45,1.36861,0.8243,1.04918,0.75738,0.69148,0.74901,0.50748,1.12674,0.71434,0.99649,0.005149,0.005149,0.005149
51,3094.53,1.36775,0.8215,1.04866,0.73716,0.69216,0.74684,0.49862,1.12202,0.71309,0.99205,0.00505,0.00505,0.00505
52,3154.28,1.35542,0.81543,1.04531,0.7649,0.6862,0.74753,0.49561,1.1191,0.71456,0.99345,0.004951,0.004951,0.004951
53,3214.98,1.36149,0.81464,1.04315,0.74374,0.69664,0.75059,0.50308,1.12277,0.72004,0.99579,0.004852,0.004852,0.004852
54,3275.7,1.35258,0.8187,1.0466,0.76473,0.70405,0.76684,0.51112,1.12131,0.71114,0.99503,0.004753,0.004753,0.004753
55,3335.99,1.34701,0.808,1.04194,0.75361,0.7085,0.75132,0.51431,1.11419,0.7047,0.99235,0.004654,0.004654,0.004654
56,3396.79,1.34829,0.80605,1.04045,0.76879,0.68742,0.75434,0.51346,1.11801,0.70619,0.99304,0.004555,0.004555,0.004555
57,3456.44,1.34311,0.80602,1.04019,0.81519,0.66004,0.76181,0.51756,1.11809,0.70219,0.99153,0.004456,0.004456,0.004456
58,3515.83,1.33746,0.80389,1.03785,0.77676,0.70067,0.76553,0.52055,1.11353,0.69968,0.99086,0.004357,0.004357,0.004357
59,3576.59,1.33532,0.80521,1.0374,0.81847,0.66729,0.76012,0.51795,1.11184,0.70233,0.98883,0.004258,0.004258,0.004258
60,3635.48,1.3368,0.79842,1.03685,0.78174,0.69092,0.76366,0.52101,1.10988,0.70019,0.98556,0.004159,0.004159,0.004159
61,3697.16,1.34272,0.79755,1.03652,0.80046,0.67653,0.76079,0.51384,1.11017,0.7029,0.98863,0.00406,0.00406,0.00406
62,3758.04,1.33599,0.7943,1.03764,0.78105,0.70683,0.76357,0.51371,1.1109,0.7015,0.98742,0.003961,0.003961,0.003961
63,3819.82,1.32902,0.79461,1.03613,0.75807,0.70309,0.75774,0.5152,1.10611,0.69613,0.98789,0.003862,0.003862,0.003862
64,3880.24,1.32802,0.78861,1.03278,0.76379,0.70061,0.7542,0.51217,1.10636,0.69832,0.98954,0.003763,0.003763,0.003763
65,3941.64,1.32908,0.79049,1.03321,0.79644,0.68289,0.75235,0.50892,1.10457,0.6977,0.98848,0.003664,0.003664,0.003664
66,4001.32,1.32282,0.78126,1.03223,0.79447,0.67969,0.75382,0.51251,1.10455,0.69905,0.98783,0.003565,0.003565,0.003565
67,4062.14,1.31662,0.7797,1.03152,0.77021,0.69105,0.75211,0.51687,1.10541,0.6995,0.98869,0.003466,0.003466,0.003466
68,4122.04,1.31958,0.77981,1.03141,0.75408,0.70076,0.75498,0.51867,1.10571,0.69532,0.98783,0.003367,0.003367,0.003367
69,4183.14,1.31549,0.77608,1.02999,0.79779,0.68429,0.75773,0.51272,1.10758,0.69785,0.99053,0.003268,0.003268,0.003268
70,4245.24,1.31715,0.7778,1.03135,0.79506,0.69993,0.75979,0.51528,1.10493,0.69629,0.98868,0.003169,0.003169,0.003169
71,4305.32,1.31394,0.77838,1.03357,0.74705,0.71573,0.76107,0.5149,1.10354,0.69334,0.98812,0.00307,0.00307,0.00307
72,4365.98,1.31438,0.7746,1.02975,0.75705,0.71772,0.76722,0.51822,1.10091,0.68887,0.9868,0.002971,0.002971,0.002971
73,4425.09,1.30482,0.77174,1.0288,0.77963,0.69693,0.76649,0.51711,1.10294,0.68722,0.98801,0.002872,0.002872,0.002872
74,4485.46,1.31094,0.77699,1.02833,0.76123,0.72464,0.77116,0.5207,1.09905,0.68577,0.98699,0.002773,0.002773,0.002773
75,4545.26,1.3076,0.76874,1.02658,0.79003,0.71065,0.77683,0.52687,1.09783,0.6826,0.98518,0.002674,0.002674,0.002674
76,4606.31,1.30055,0.76421,1.02665,0.77571,0.72466,0.77566,0.52975,1.0965,0.68236,0.98515,0.002575,0.002575,0.002575
77,4666.71,1.30645,0.76338,1.02752,0.80067,0.70428,0.77844,0.53406,1.09731,0.67958,0.98651,0.002476,0.002476,0.002476
78,4728.54,1.31169,0.76255,1.02951,0.78175,0.71432,0.77424,0.52711,1.09596,0.68335,0.98653,0.002377,0.002377,0.002377
79,4789.52,1.29509,0.75935,1.02514,0.79116,0.71336,0.76903,0.52175,1.0967,0.68595,0.98731,0.002278,0.002278,0.002278
80,4849.77,1.28142,0.75412,1.02159,0.81339,0.68571,0.76829,0.52175,1.09769,0.68673,0.98738,0.002179,0.002179,0.002179
