epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5651,1.2568,1.4453,1.00632,0.764,0.62813,0.7079,0.46835,1.11484,0.81592,1.01318,0.00332724,0.00332724,0.00332724
2,132.7,1.26734,0.78759,1.0152,0.79434,0.69145,0.7579,0.50625,1.12472,0.73782,1.0103,0.00659463,0.00659463,0.00659463
3,190.569,1.29928,0.79374,1.02709,0.71844,0.62983,0.68817,0.42757,1.19228,0.83105,1.04268,0.00979603,0.00979603,0.00979603
4,248.086,1.35983,0.84109,1.0446,0.68131,0.62024,0.66316,0.42163,1.19975,0.82467,1.03935,0.009703,0.009703,0.009703
5,305.972,1.37589,0.84347,1.05362,0.69901,0.6302,0.67793,0.41792,1.19816,0.83217,1.03446,0.009604,0.009604,0.009604
6,365.848,1.38419,0.84624,1.05339,0.6843,0.65198,0.69055,0.45854,1.1872,0.81209,1.03253,0.009505,0.009505,0.009505
7,425.268,1.38752,0.84427,1.05449,0.71061,0.62708,0.68484,0.43222,1.21145,0.8111,1.03293,0.009406,0.009406,0.009406
8,484.826,1.38415,0.84433,1.05528,0.7372,0.61549,0.69215,0.43973,1.20101,0.8249,1.04088,0.009307,0.009307,0.009307
9,543.617,1.38105,0.84443,1.05751,0.68464,0.66458,0.69956,0.44671,1.18622,0.82136,1.03208,0.009208,0.009208,0.009208
10,601.538,1.36649,0.83818,1.04962,0.71258,0.703,0.72851,0.4528,1.18242,0.79608,1.03625,0.009109,0.009109,0.009109
11,658.896,1.37102,0.83478,1.04847,0.78223,0.64609,0.73881,0.46604,1.18176,0.78964,1.03529,0.00901,0.00901,0.00901
12,717.514,1.3705,0.83455,1.05237,0.7373,0.6418,0.69845,0.45371,1.2054,0.80904,1.03352,0.008911,0.008911,0.008911
13,774.834,1.36914,0.83004,1.052,0.73012,0.63369,0.69263,0.44498,1.18471,0.81021,1.03149,0.008812,0.008812,0.008812
14,833.161,1.3609,0.82664,1.04726,0.76457,0.68222,0.74975,0.48955,1.16886,0.7695,1.02251,0.008713,0.008713,0.008713
15,890.898,1.36199,0.82684,1.05049,0.74887,0.65245,0.73401,0.47762,1.17349,0.7608,1.03077,0.008614,0.008614,0.008614
16,952.42,1.36261,0.82799,1.04879,0.69159,0.65325,0.68723,0.45976,1.16414,0.79311,1.0226,0.008515,0.008515,0.008515
17,1013.51,1.35769,0.8213,1.04534,0.73135,0.65879,0.7153,0.46853,1.17312,0.77563,1.02506,0.008416,0.008416,0.008416
18,1072.39,1.35668,0.8264,1.04706,0.72577,0.64946,0.71206,0.45463,1.18832,0.77898,1.03173,0.008317,0.008317,0.008317
19,1130.53,1.36243,0.82035,1.0469,0.70382,0.61733,0.69168,0.44518,1.17603,0.80561,1.03639,0.008218,0.008218,0.008218
20,1188.59,1.35831,0.82103,1.04609,0.73591,0.66795,0.72561,0.46811,1.18199,0.76107,1.03531,0.008119,0.008119,0.008119
21,1247.41,1.36098,0.81927,1.04755,0.72229,0.68368,0.72242,0.46844,1.15931,0.75336,1.02184,0.00802,0.00802,0.00802
22,1305.83,1.35271,0.8123,1.04285,0.72733,0.64352,0.71853,0.46854,1.16849,0.76585,1.02718,0.007921,0.007921,0.007921
23,1365.56,1.36215,0.81409,1.04712,0.77021,0.67262,0.74557,0.47607,1.17629,0.75437,1.03124,0.007822,0.007822,0.007822
24,1425.29,1.3497,0.80959,1.04497,0.74898,0.67634,0.738,0.48544,1.15547,0.77135,1.0225,0.007723,0.007723,0.007723
25,1482.82,1.34716,0.806,1.0408,0.74498,0.66038,0.73647,0.48809,1.15782,0.7709,1.02709,0.007624,0.007624,0.007624
26,1540.6,1.34367,0.80049,1.03991,0.72934,0.70428,0.73928,0.48747,1.16066,0.76345,1.02058,0.007525,0.007525,0.007525
27,1599.89,1.34002,0.80073,1.04029,0.7686,0.6981,0.76049,0.51351,1.15721,0.73808,1.02156,0.007426,0.007426,0.007426
28,1658.23,1.34357,0.80444,1.0414,0.77501,0.64847,0.74853,0.4924,1.14598,0.7401,1.01913,0.007327,0.007327,0.007327
29,1716.89,1.33991,0.80122,1.04029,0.78989,0.67464,0.76517,0.51483,1.13919,0.7406,1.01752,0.007228,0.007228,0.007228
30,1774.37,1.33526,0.80078,1.03987,0.78044,0.66897,0.75953,0.50333,1.13841,0.72716,1.01199,0.007129,0.007129,0.007129
31,1833.81,1.33934,0.79917,1.04095,0.79712,0.7085,0.77739,0.51941,1.13301,0.72826,1.01078,0.00703,0.00703,0.00703
32,1890.87,1.33446,0.79399,1.0382,0.74827,0.68395,0.73399,0.48215,1.14498,0.74878,1.01709,0.006931,0.006931,0.006931
33,1948.71,1.33497,0.79439,1.03641,0.80017,0.68267,0.76154,0.48715,1.14406,0.72545,1.01735,0.006832,0.006832,0.006832
34,2004.23,1.32614,0.78671,1.03632,0.74248,0.6969,0.741,0.49095,1.138,0.73062,1.01626,0.006733,0.006733,0.006733
35,2061.41,1.32381,0.78389,1.03821,0.77027,0.6879,0.76515,0.5111,1.1273,0.72249,1.00572,0.006634,0.006634,0.006634
36,2119.04,1.32787,0.78648,1.03177,0.75457,0.71379,0.76398,0.51181,1.12547,0.71125,1.00662,0.006535,0.006535,0.006535
37,2177.12,1.32662,0.78878,1.03477,0.78581,0.67498,0.76101,0.50684,1.1288,0.72499,1.00785,0.006436,0.006436,0.006436
38,2235.42,1.32477,0.78463,1.03424,0.77055,0.68896,0.76266,0.50889,1.12264,0.72774,1.00905,0.006337,0.006337,0.006337
39,2293.1,1.32486,0.78458,1.03371,0.81707,0.66134,0.74783,0.49721,1.12503,0.72465,1.00807,0.006238,0.006238,0.006238
40,2351.28,1.32119,0.78212,1.03112,0.80831,0.69612,0.77786,0.51384,1.11903,0.71472,1.00464,0.006139,0.006139,0.006139
41,2409.1,1.32398,0.7786,1.03361,0.77742,0.70418,0.7628,0.51422,1.11561,0.71768,1.00501,0.00604,0.00604,0.00604
42,2468.7,1.31225,0.77404,1.03089,0.7795,0.70229,0.76288,0.50306,1.12376,0.72649,1.01097,0.005941,0.005941,0.005941
43,2534.18,1.31193,0.77602,1.0295,0.83327,0.69429,0.79105,0.53138,1.12312,0.70484,1.01274,0.005842,0.005842,0.005842
44,2597.52,1.30565,0.76561,1.02754,0.75489,0.71353,0.78021,0.51728,1.116,0.70292,1.00697,0.005743,0.005743,0.005743
45,2659.37,1.3086,0.77147,1.0303,0.81738,0.70835,0.78996,0.52428,1.11822,0.70336,1.00913,0.005644,0.005644,0.005644
46,2723.54,1.31082,0.77128,1.02785,0.77147,0.7186,0.78393,0.52983,1.11375,0.69752,1.00307,0.005545,0.005545,0.005545
47,2787.38,1.31081,0.76649,1.02828,0.78796,0.71093,0.77622,0.53035,1.10697,0.70027,1.00225,0.005446,0.005446,0.005446
48,2851.97,1.3004,0.7635,1.02565,0.78385,0.73259,0.77669,0.53329,1.1054,0.69423,0.99953,0.005347,0.005347,0.005347
49,2917.96,1.29754,0.76021,1.02512,0.81172,0.70552,0.78096,0.53088,1.10383,0.69352,0.99894,0.005248,0.005248,0.005248
50,2981.2,1.30497,0.7628,1.02803,0.77113,0.73334,0.78122,0.53166,1.11004,0.69807,1.00062,0.005149,0.005149,0.005149
51,3045.11,1.30399,0.76035,1.02656,0.79272,0.71941,0.7886,0.53279,1.10965,0.68462,1.00076,0.00505,0.00505,0.00505
52,3109.33,1.29177,0.75462,1.023,0.77797,0.74167,0.79233,0.54167,1.10664,0.68615,1.00243,0.004951,0.004951,0.004951
